
   # PLAYER        :  RATING  POINTS  PLAYED   (%)
   1 Lc0 - 3900    :  2770.7    66.0      71    93
   2 Lc0 - 3500    :  2652.6    63.0      72    88
   3 Lc0 - 3988    :  2624.5    60.5      71    85
   4 Lc0 - 3800    :  2541.0    57.0      72    79
   5 Lc0 - 3701    :  2519.7    56.5      72    78
   6 Lc0 - 2079    :  2501.8    56.0      73    77
   7 Lc0 - 2000    :  2496.9    56.0      73    77
   8 Lc0 - 2055    :  2466.7    53.0      73    73
   9 Lc0 - 3600    :  2447.4    51.0      72    71
  10 Lc0 - 2300    :  2430.4    51.0      73    70
  11 Lc0 - 2800    :  2428.8    50.5      72    70
  12 Lc0 - 2200    :  2409.4    49.5      73    68
  13 Lc0 - 3300    :  2409.2    49.0      72    68
  14 Lc0 - 3100    :  2404.2    49.0      72    68
  15 Lc0 - 1970    :  2403.5    48.5      73    66
  16 Lc0 - 2700    :  2393.7    48.0      72    67
  17 Lc0 - 1854    :  2385.8    49.0      73    67
  18 Lc0 - 1940    :  2361.1    47.5      73    65
  19 Lc0 - 1533    :  2360.5    45.5      72    63
  20 Lc0 - 1900    :  2351.3    45.0      73    62
  21 Lc0 - 1500    :  2308.4    42.5      72    59
  22 Lc0 - 2600    :  2304.3    41.5      72    58
  23 Lc0 - 1440    :  2293.4    40.0      72    56
  24 Lc0 - 3400    :  2281.6    41.0      72    57
  25 Lc0 - 1777    :  2256.3    40.0      73    55
  26 Lc0 - 1800    :  2245.6    37.5      73    51
  27 Lc0 - 2400    :  2237.2    37.0      73    51
  28 Lc0 - 1700    :  2231.1    36.5      72    51
  29 Lc0 - 3200    :  2224.6    37.0      72    51
  30 Lc0 - 1372    :  2221.4    35.5      72    49
  31 Lc0 - 1629    :  2164.5    33.5      72    47
  32 Lc0 - 3000    :  2148.6    31.5      72    44
  33 Lc0 - 1225    :  2129.2    28.0      72    39
  34 Lc0 - 2878    :  2107.4    28.0      72    39
  35 Lc0 - 2900    :  2092.9    27.5      72    38
  36 Lc0 - 1111    :  2090.6    27.0      72    38
  37 Lc0 - 1549    :  2086.8    27.5      72    38
  38 Lc0 - 2775    :  2055.6    24.0      72    33
  39 Lc0 - 2171    :  2027.8    23.0      73    32
  40 Lc0 - 2125    :  2024.1    23.5      73    32
  41 Lc0 - 851     :  1995.5    20.5      71    29
  42 Lc0 - 915     :  1958.2    19.0      71    27
  43 Lc0 - 2656    :  1919.4    16.0      72    22
  44 Lc0 - 2100    :  1912.9    16.5      73    23
  45 Lc0 - 2551    :  1885.2    14.5      72    20
  46 Lc0 - 711     :  1827.6    12.0      71    17
  47 Lc0 - 2500    :  1773.0    11.5      73    16
  48 Lc0 - 2317    :  1592.3     6.5      73     9
  49 Lc0 - 341     :  1544.7     5.5      72     8
  50 Lc0 - 1600    :  1498.5     4.0      72     6
  51 Lc0 - 0       :  1402.3     2.5      72     3

White advantage = 0.00
Draw rate (equal opponents) = 50.00 %

