

     Program           Elo      +      -   Games   Score   Av.Op.  Draws

   1 Lc0 - 3900    : 2770.7    0.0    0.0    71    93.0 %   2189    5.6 %
   2 Lc0 - 3500    : 2652.6    0.0    0.0    72    87.5 %   2191   11.1 %
   3 Lc0 - 3988    : 2624.5    0.0    0.0    71    85.2 %   2190   21.1 %
   4 Lc0 - 3800    : 2541.0    0.0    0.0    72    79.2 %   2193   16.7 %
   5 Lc0 - 3701    : 2519.7    0.0    0.0    72    78.5 %   2197   15.3 %
   6 Lc0 - 2079    : 2501.8    0.0    0.0    73    76.7 %   2184   19.2 %
   7 Lc0 - 2000    : 2496.9    0.0    0.0    73    76.7 %   2180   16.4 %
   8 Lc0 - 2055    : 2466.7    0.0    0.0    73    72.6 %   2210   16.4 %
   9 Lc0 - 3600    : 2447.4    0.0    0.0    72    70.8 %   2198   13.9 %
  10 Lc0 - 2300    : 2430.4    0.0    0.0    73    69.9 %   2208   16.4 %
  11 Lc0 - 2800    : 2428.8    0.0    0.0    72    70.1 %   2184    9.7 %
  12 Lc0 - 2200    : 2409.4    0.0    0.0    73    67.8 %   2195    9.6 %
  13 Lc0 - 3300    : 2409.2    0.0    0.0    72    68.1 %   2184   11.1 %
  14 Lc0 - 3100    : 2404.2    0.0    0.0    72    68.1 %   2181   19.4 %
  15 Lc0 - 1970    : 2403.5    0.0    0.0    73    66.4 %   2214   17.8 %
  16 Lc0 - 2700    : 2393.7    0.0    0.0    72    66.7 %   2185   19.4 %
  17 Lc0 - 1854    : 2385.8    0.0    0.0    73    67.1 %   2185   16.4 %
  18 Lc0 - 1940    : 2361.1    0.0    0.0    73    65.1 %   2177   15.1 %
  19 Lc0 - 1533    : 2360.5    0.0    0.0    72    63.2 %   2202   12.5 %
  20 Lc0 - 1900    : 2351.3    0.0    0.0    73    61.6 %   2212   19.2 %
  21 Lc0 - 1500    : 2308.4    0.0    0.0    72    59.0 %   2198   12.5 %
  22 Lc0 - 2600    : 2304.3    0.0    0.0    72    57.6 %   2192   12.5 %
  23 Lc0 - 1440    : 2293.4    0.0    0.0    72    55.6 %   2209   16.7 %
  24 Lc0 - 3400    : 2281.6    0.0    0.0    72    56.9 %   2199   13.9 %
  25 Lc0 - 1777    : 2256.3    0.0    0.0    73    54.8 %   2184   11.0 %
  26 Lc0 - 1800    : 2245.6    0.0    0.0    73    51.4 %   2210   17.8 %
  27 Lc0 - 2400    : 2237.2    0.0    0.0    73    50.7 %   2216   24.7 %
  28 Lc0 - 1700    : 2231.1    0.0    0.0    72    50.7 %   2201    9.7 %
  29 Lc0 - 3200    : 2224.6    0.0    0.0    72    51.4 %   2199   16.7 %
  30 Lc0 - 1372    : 2221.4    0.0    0.0    72    49.3 %   2208    9.7 %
  31 Lc0 - 1629    : 2164.5    0.0    0.0    72    46.5 %   2176   15.3 %
  32 Lc0 - 3000    : 2148.6    0.0    0.0    72    43.8 %   2200    9.7 %
  33 Lc0 - 1225    : 2129.2    0.0    0.0    72    38.9 %   2217    8.3 %
  34 Lc0 - 2878    : 2107.4    0.0    0.0    72    38.9 %   2207    8.3 %
  35 Lc0 - 2900    : 2092.9    0.0    0.0    72    38.2 %   2188   15.3 %
  36 Lc0 - 1111    : 2090.6    0.0    0.0    72    37.5 %   2204   11.1 %
  37 Lc0 - 1549    : 2086.8    0.0    0.0    72    38.2 %   2186    9.7 %
  38 Lc0 - 2775    : 2055.6    0.0    0.0    72    33.3 %   2215   13.9 %
  39 Lc0 - 2171    : 2027.8    0.0    0.0    73    31.5 %   2210   16.4 %
  40 Lc0 - 2125    : 2024.1    0.0    0.0    73    32.2 %   2193    9.6 %
  41 Lc0 - 851     : 1995.5    0.0    0.0    71    28.9 %   2208   12.7 %
  42 Lc0 - 915     : 1958.2    0.0    0.0    71    26.8 %   2203    5.6 %
  43 Lc0 - 2656    : 1919.4    0.0    0.0    72    22.2 %   2220    8.3 %
  44 Lc0 - 2100    : 1912.9    0.0    0.0    73    22.6 %   2214    6.8 %
  45 Lc0 - 2551    : 1885.2    0.0    0.0    72    20.1 %   2218    1.4 %
  46 Lc0 - 711     : 1827.6    0.0    0.0    71    16.9 %   2215    8.5 %
  47 Lc0 - 2500    : 1773.0    0.0    0.0    73    15.8 %   2205    6.8 %
  48 Lc0 - 2317    : 1592.3    0.0    0.0    73     8.9 %   2209    4.1 %
  49 Lc0 - 341     : 1544.7    0.0    0.0    72     7.6 %   2210    4.2 %
  50 Lc0 - 1600    : 1498.5    0.0    0.0    72     5.6 %   2207    5.6 %
  51 Lc0 - 0       : 1402.3    0.0    0.0    72     3.5 %   2223    1.4 %
