
   # PLAYER        :  RATING  POINTS  PLAYED   (%)
   1 Lc0 - 3900    :  2847.8    51.5      54    95
   2 Lc0 - 3500    :  2661.7    47.5      54    88
   3 Lc0 - 3988    :  2604.8    45.0      53    85
   4 Lc0 - 3800    :  2540.2    43.5      54    81
   5 Lc0 - 3701    :  2532.0    43.0      54    80
   6 Lc0 - 2079    :  2523.6    42.0      53    79
   7 Lc0 - 2000    :  2462.9    39.5      53    75
   8 Lc0 - 2055    :  2431.8    37.5      53    71
   9 Lc0 - 3600    :  2424.4    38.0      54    70
  10 Lc0 - 2800    :  2423.0    37.5      54    69
  11 Lc0 - 2700    :  2417.8    37.0      54    69
  12 Lc0 - 1854    :  2414.2    38.0      54    70
  13 Lc0 - 3100    :  2405.2    37.0      54    69
  14 Lc0 - 3300    :  2396.9    36.5      54    68
  15 Lc0 - 2300    :  2396.1    36.0      53    68
  16 Lc0 - 1533    :  2394.9    36.0      54    67
  17 Lc0 - 2200    :  2390.8    35.5      53    67
  18 Lc0 - 1900    :  2375.4    35.0      54    65
  19 Lc0 - 1970    :  2372.6    34.0      53    64
  20 Lc0 - 1940    :  2371.6    36.0      54    67
  21 Lc0 - 1500    :  2350.0    33.0      54    61
  22 Lc0 - 3400    :  2292.8    31.0      54    57
  23 Lc0 - 1440    :  2285.4    30.0      54    56
  24 Lc0 - 2600    :  2274.3    29.5      54    55
  25 Lc0 - 3200    :  2265.1    29.5      54    55
  26 Lc0 - 1700    :  2259.0    28.5      54    53
  27 Lc0 - 1372    :  2257.2    27.5      54    51
  28 Lc0 - 1777    :  2231.8    28.0      54    52
  29 Lc0 - 1800    :  2222.8    26.5      54    49
  30 Lc0 - 2400    :  2209.7    25.5      53    48
  31 Lc0 - 1225    :  2154.4    23.0      54    43
  32 Lc0 - 1629    :  2135.6    22.5      54    42
  33 Lc0 - 3000    :  2118.0    21.5      54    40
  34 Lc0 - 2878    :  2085.2    19.5      54    36
  35 Lc0 - 1549    :  2075.7    19.0      54    35
  36 Lc0 - 2775    :  2071.0    18.5      54    34
  37 Lc0 - 2900    :  2060.2    19.0      54    35
  38 Lc0 - 1111    :  2054.9    18.0      54    33
  39 Lc0 - 2125    :  2048.3    18.0      53    34
  40 Lc0 - 851     :  2014.7    16.5      53    31
  41 Lc0 - 2171    :  2008.0    17.0      53    32
  42 Lc0 - 2656    :  1944.8    13.0      54    24
  43 Lc0 - 2100    :  1931.0    14.0      53    26
  44 Lc0 - 915     :  1919.4    12.5      53    24
  45 Lc0 - 2551    :  1865.7    10.5      54    19
  46 Lc0 - 711     :  1856.2    10.5      53    20
  47 Lc0 - 2500    :  1769.7     8.0      53    15
  48 Lc0 - 2317    :  1580.1     4.0      53     8
  49 Lc0 - 341     :  1550.3     4.0      54     7
  50 Lc0 - 1600    :  1487.2     3.0      54     6
  51 Lc0 - 0       :  1434.0     2.0      54     4

White advantage = 0.00
Draw rate (equal opponents) = 50.00 %

