

     Program           Elo      +      -   Games   Score   Av.Op.  Draws

   1 Lc0 - 3900    : 2847.8    0.0    0.0    54    95.4 %   2175    5.6 %
   2 Lc0 - 3500    : 2661.7    0.0    0.0    54    88.0 %   2190   13.0 %
   3 Lc0 - 3988    : 2604.8    0.0    0.0    53    84.9 %   2174   18.9 %
   4 Lc0 - 3800    : 2540.2    0.0    0.0    54    80.6 %   2177   16.7 %
   5 Lc0 - 3701    : 2532.0    0.0    0.0    54    79.6 %   2190   14.8 %
   6 Lc0 - 2079    : 2523.6    0.0    0.0    53    79.2 %   2183   18.9 %
   7 Lc0 - 2000    : 2462.9    0.0    0.0    53    74.5 %   2181   17.0 %
   8 Lc0 - 2055    : 2431.8    0.0    0.0    53    70.8 %   2193   13.2 %
   9 Lc0 - 3600    : 2424.4    0.0    0.0    54    70.4 %   2186   14.8 %
  10 Lc0 - 2800    : 2423.0    0.0    0.0    54    69.4 %   2204   13.0 %
  11 Lc0 - 2700    : 2417.8    0.0    0.0    54    68.5 %   2207   22.2 %
  12 Lc0 - 1854    : 2414.2    0.0    0.0    54    70.4 %   2185   14.8 %
  13 Lc0 - 3100    : 2405.2    0.0    0.0    54    68.5 %   2188   22.2 %
  14 Lc0 - 3300    : 2396.9    0.0    0.0    54    67.6 %   2189   13.0 %
  15 Lc0 - 2300    : 2396.1    0.0    0.0    53    67.9 %   2185   18.9 %
  16 Lc0 - 1533    : 2394.9    0.0    0.0    54    66.7 %   2196   11.1 %
  17 Lc0 - 2200    : 2390.8    0.0    0.0    53    67.0 %   2197    5.7 %
  18 Lc0 - 1900    : 2375.4    0.0    0.0    54    64.8 %   2204   22.2 %
  19 Lc0 - 1970    : 2372.6    0.0    0.0    53    64.2 %   2206   18.9 %
  20 Lc0 - 1940    : 2371.6    0.0    0.0    54    66.7 %   2181   18.5 %
  21 Lc0 - 1500    : 2350.0    0.0    0.0    54    61.1 %   2215   11.1 %
  22 Lc0 - 3400    : 2292.8    0.0    0.0    54    57.4 %   2199   14.8 %
  23 Lc0 - 1440    : 2285.4    0.0    0.0    54    55.6 %   2200   18.5 %
  24 Lc0 - 2600    : 2274.3    0.0    0.0    54    54.6 %   2204   13.0 %
  25 Lc0 - 3200    : 2265.1    0.0    0.0    54    54.6 %   2199   16.7 %
  26 Lc0 - 1700    : 2259.0    0.0    0.0    54    52.8 %   2208    9.3 %
  27 Lc0 - 1372    : 2257.2    0.0    0.0    54    50.9 %   2227    9.3 %
  28 Lc0 - 1777    : 2231.8    0.0    0.0    54    51.9 %   2195    7.4 %
  29 Lc0 - 1800    : 2222.8    0.0    0.0    54    49.1 %   2209   20.4 %
  30 Lc0 - 2400    : 2209.7    0.0    0.0    53    48.1 %   2207   24.5 %
  31 Lc0 - 1225    : 2154.4    0.0    0.0    54    42.6 %   2207    7.4 %
  32 Lc0 - 1629    : 2135.6    0.0    0.0    54    41.7 %   2200   16.7 %
  33 Lc0 - 3000    : 2118.0    0.0    0.0    54    39.8 %   2203    9.3 %
  34 Lc0 - 2878    : 2085.2    0.0    0.0    54    36.1 %   2209    9.3 %
  35 Lc0 - 1549    : 2075.7    0.0    0.0    54    35.2 %   2212   11.1 %
  36 Lc0 - 2775    : 2071.0    0.0    0.0    54    34.3 %   2215    9.3 %
  37 Lc0 - 2900    : 2060.2    0.0    0.0    54    35.2 %   2194   18.5 %
  38 Lc0 - 1111    : 2054.9    0.0    0.0    54    33.3 %   2223   11.1 %
  39 Lc0 - 2125    : 2048.3    0.0    0.0    53    34.0 %   2200   11.3 %
  40 Lc0 - 851     : 2014.7    0.0    0.0    53    31.1 %   2203   13.2 %
  41 Lc0 - 2171    : 2008.0    0.0    0.0    53    32.1 %   2187   15.1 %
  42 Lc0 - 2656    : 1944.8    0.0    0.0    54    24.1 %   2223   11.1 %
  43 Lc0 - 2100    : 1931.0    0.0    0.0    53    26.4 %   2187    7.5 %
  44 Lc0 - 915     : 1919.4    0.0    0.0    53    23.6 %   2217    5.7 %
  45 Lc0 - 2551    : 1865.7    0.0    0.0    54    19.4 %   2217    1.9 %
  46 Lc0 - 711     : 1856.2    0.0    0.0    53    19.8 %   2211    9.4 %
  47 Lc0 - 2500    : 1769.7    0.0    0.0    53    15.1 %   2204    7.5 %
  48 Lc0 - 2317    : 1580.1    0.0    0.0    53     7.5 %   2207    3.8 %
  49 Lc0 - 341     : 1550.3    0.0    0.0    54     7.4 %   2203    3.7 %
  50 Lc0 - 1600    : 1487.2    0.0    0.0    54     5.6 %   2206    3.7 %
  51 Lc0 - 0       : 1434.0    0.0    0.0    54     3.7 %   2229    0.0 %
